Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref)
6.6,30,100,15,0.0,21.244,68.83,0.0001,0,0.6,0,1.93,13.648,0.00098312,58542,62806,298.09,9.3355,0.21701,0,,30,,0.32857,0.19858,,,0.082563,0,,0,1,1,1
6.8,30,100,15,0.0,16.017,71.138,0.0001,0,0.6,0,1.9325,13.596,0.00098259,58543,62814,298.09,9.2838,0.22303,0,,30,,0.34544,0.19825,,,0.084854,0,,0,1,1,1
7.0,30,100,15,0.0,16.096,74.318,0.0001,0,0.6,0,1.931,13.527,0.00098207,58544,62821,298.08,9.0259,0.22924,0,,30,,0.37052,0.19776,,,0.087217,0,,0,1,1,1
7.2,30,100,15,0.0,21.177,77.207,0.0001,0,0.6,0,1.9253,13.455,0.00098153,58546,62829,298.08,8.2531,0.23564,0,,30,,0.39836,0.19722,,,0.089656,0,,0,1,1,1
7.4,30,100,15,0.0,28.898,79.407,0.0001,0,0.6,0,1.9156,13.401,0.00098096,58549,62839,298.08,6.8575,0.24224,0,,30,,0.41999,0.1968,,,0.092166,0,,0,1,1,1
7.6,30,100,15,0.0,35.196,80.716,0.0001,0,0.6,0,1.9014,13.333,0.00098037,58554,62850,298.08,7.8167,0.24903,0,,30,,0.444,0.19633,,,0.094753,0,,0,1,1,1
7.8,30,100,15,0.0,37.665,84.863,0.0001,0,0.6,0,1.8833,13.276,0.00097977,58559,62861,298.08,8.7817,0.25603,0,,30,,0.46436,0.19593,,,0.097418,0,,0,1,1,1
8.0,30,100,15,0.0,36.02,89.084,0.0001,0,0.6,0,1.8607,13.222,0.00097918,58564,62872,298.09,9.8352,0.26324,0,,30,,0.48107,0.1956,,,0.10016,0,,0,1,1,1
8.2,42,100,15,0.0,31.438,93.552,0.0001,0,0.6,0,1.8336,13.331,0.00097861,58568,62883,298.09,11.664,0.21112,0,,30,,0.45819,0.19862,,,0.11245,0,,0,1,1,1
8.4,42,100,15,0.0,26.22,99.157,0.0001,0,0.6,0,1.8006,13.254,0.00097805,58571,62892,298.1,12.346,0.21015,0,,30,,0.45132,0.19871,,,0.11193,0,,0,1,1,1
8.6,42,100,15,0.0,23.338,103.53,0.0001,0,0.6,0,1.7627,13.191,0.00097751,58573,62900,298.1,13.047,0.21507,0,,30,,0.46919,0.19846,,,0.11456,0,,0,1,1,1
8.8,42,100,15,0.0,24.852,108.05,0.0001,0,0.6,0,1.7182,13.112,0.00097695,58576,62909,298.11,15.776,0.22089,0,,30,,0.49778,0.19806,,,0.11765,0,,0,1,1,1
9.0,42,100,15,0.0,30.166,115.26,0.0001,0,0.6,0,1.6681,13.049,0.00097638,58580,62919,298.12,17.587,0.22698,0,,30,,0.51847,0.19777,,,0.1209,0,,0,1,1,1
9.2,42,100,15,0.0,36.871,121.62,0.0001,0,0.6,0,1.6111,12.975,0.00097579,58585,62931,298.12,19.374,0.2333,0,,30,,0.54284,0.19743,,,0.12427,0,,0,1,1,1
9.4,42,100,15,0.0,43.504,128.22,0.0001,0,0.6,0,1.5493,12.919,0.00097518,58591,62943,298.13,20.763,0.23979,0,,30,,0.56083,0.19717,,,0.12773,0,,0,1,1,1
9.6,42,100,15,0.0,48.433,134.57,0.0001,0,0.6,0,1.4815,12.842,0.00097454,58598,62957,298.14,23.997,0.24647,0,,30,,0.58866,0.19678,,,0.13129,0,,0,1,1,1
9.8,42,100,15,0.0,50.664,143.48,0.0001,0,0.6,0,1.4079,12.776,0.00097391,58606,62971,298.15,25.96,0.25333,0,,30,,0.60956,0.19649,,,0.13495,0,,0,1,1,1
10.0,42,100,15,0.0,49.499,151.16,0.0001,0,0.6,0,1.3281,12.693,0.00097327,58613,62985,298.15,26.957,0.2604,0,,30,,0.6385,0.19608,,,0.13871,0,,0,1,1,1
10.2,42,100,15,0.0,46.488,157.91,0.0001,0,0.6,0,1.2424,12.601,0.00097265,58620,62998,298.15,26.698,0.26768,0,,30,,0.672,0.19561,,,0.14259,0,,0,1,1,1
10.4,42,100,15,0.0,43.731,163.22,0.0001,0,0.6,0,1.1493,12.516,0.00097204,58627,63011,298.15,25.696,0.27519,0,,30,,0.70032,0.19521,,,0.1466,0,,0,1,1,1
10.6,42,100,15,0.0,42.712,167.59,0.0001,0,0.6,0,1.0486,12.41,0.00097143,58633,63023,298.14,25.128,0.28295,0,,30,,0.73895,0.19467,,,0.15074,0,,0,1,1,1
10.8,42,100,15,0.0,44.043,172.39,0.0001,0,0.6,0,0.94074,12.309,0.00097082,58639,63036,298.14,23.97,0.29098,0,,30,,0.7746,0.19417,,,0.15501,0,,0,1,1,1
11.0,42,100,15,0.0,47.308,176.35,0.0001,0,0.6,0,0.82618,12.221,0.00097019,58646,63049,298.14,23.993,0.29925,0,,30,,0.80504,0.19374,,,0.15942,0,,0,1,1,1
11.2,42,100,15,0.0,51.125,181.67,0.0001,0,0.6,0,0.70488,12.132,0.00096956,58654,63063,298.12,17.29,0.30775,0,,30,,0.8343,0.19332,,,0.16396,0,,0,1,1,1
11.4,42,100,15,0.0,54.39,178.37,0.0001,0,0.6,0,0.57682,12.033,0.00096891,58663,63078,298.08,7.2958,0.31649,0,,30,,0.86827,0.19284,,,0.16861,0,,0,1,1,1
11.6,42,100,15,0.0,57.231,170.14,0.0001,0,0.6,0,0.44014,11.92,0.00096826,58672,63094,298.07,4.0842,0.3255,0,,30,,0.90697,0.19229,,,0.17342,0,,0,1,1,1
11.8,42,100,15,0.0,59.744,169.27,0.0001,0,0.6,0,0.29866,11.855,0.0009676,58681,63109,298.06,1.1719,0.33475,0,,30,,0.92745,0.19199,,,0.17835,0,,0,1,1,1
12.0,42,100,15,0.0,61.535,168.15,0.0001,0,0.6,0,0.15862,11.835,0.00096693,58691,63126,298.04,1e-06,0.34413,0,1577.7,30,1791.4,0.93728,0.19184,0.00096956,2.8974,0.18335,0,10.792,0,1,1,1
12.2,42,100,30,0.0,61.979,163.16,0.0001,0,0.6,0,0.061676,11.966,0.00096622,58704,63146,298.03,1e-06,0.35344,0,,30,,0.9102,0.19219,,,0.18832,0,,0,1,1,1
12.4,42,100,30,0.0,59.487,163.22,0.0001,0,0.6,0,0.016875,12.564,0.00096551,58717,63166,297.97,1e-06,0.36193,0,,30,,0.75194,0.19434,,,0.19285,0,,0,1,1,1
12.6,42,100,30,0.0,49.612,144.79,0.0001,0,0.7,0,0.013954,13.538,0.00096484,58728,63183,297.9,1e-06,0.36878,0,,30,,0.6053,0.19632,,,0.1965,0,,0,1,1,1
12.8,42,100,30,0.0,32.44,43.436,171.31,0,0.7,0,0.013902,13.51,0.00096422,58735,63198,298.57,181.73,0.37509,0,,30,,0.57759,0.19668,,,0.19987,0,,0,1,1,1
13.0,42,100,30,0.0,16.067,271.75,17.131,0,0.7,0,0.013506,13.478,0.00096365,58738,63208,298.34,118.4,0.38133,0,,30,,0.58194,0.19661,,,0.20319,0,,0,1,1,1
13.2,42,100,30,0.0,9.1289,207.61,1.7131,0,0.7,0,0.013119,13.456,0.00096311,58741,63218,298.17,73.522,0.38754,0,,30,,0.58845,0.19651,,,0.20651,0,,0,1,1,1
13.4,42,100,30,0.0,14.632,164.98,0.17131,0,0.7,0,0.012755,13.435,0.00096254,58744,63229,298.07,45.835,0.39373,0,,30,,0.59483,0.19641,,,0.20981,0,,0,1,1,1
13.6,42,100,30,0.0,28.896,137.52,0.017131,0,0.7,0,0.012597,13.412,0.00096194,58751,63242,298.0,26.587,0.39991,0,,30,,0.59939,0.19633,,,0.21311,0,,0,1,1,1
13.8,42,100,30,0.0,44.921,116.5,0.0017131,0,0.7,0,0.012335,13.391,0.00096128,58760,63259,297.95,13.159,0.4061,0,,30,,0.60479,0.19625,,,0.21641,0,,0,1,1,1
14.0,42,100,30,0.0,55.961,99.992,0.00017131,0,0.7,0,0.012014,13.394,0.00096059,58772,63278,297.93,8.0127,0.41227,0,,30,,0.60088,0.19629,,,0.2197,0,,0,1,1,1
14.2,42,100,30,0.0,58.23,29.998,106.74,0,0.7,0,0.011821,13.384,0.00095989,58785,63297,298.4,133.85,0.41838,0,,30,,0.60076,0.19628,,,0.22296,0,,0,1,1,1
14.4,42,100,30,0.0,51.089,187.67,10.674,0,0.7,0,0.011639,13.364,0.00095921,58795,63315,298.25,94.369,0.42446,0,,30,,0.60238,0.19625,,,0.2262,0,,0,1,1,1
14.6,42,100,30,0.0,38.386,148.87,1.0674,0,0.7,0,0.011474,13.33,0.00095857,58804,63331,298.15,67.533,0.43054,0,,30,,0.6124,0.1961,,,0.22945,0,,0,1,1,1
14.8,42,100,30,0.0,25.554,125.26,0.10674,0,0.7,0,0.01132,13.3,0.00095798,58809,63344,298.1,52.291,0.43661,0,,30,,0.62085,0.19597,,,0.23268,0,,0,1,1,1
15.0,42,100,30,0.0,18.234,112.34,0.010674,0,0.7,0,0.011133,13.285,0.00095742,58814,63355,298.06,41.714,0.44268,0,,30,,0.61958,0.19598,,,0.23592,0,,0,1,1,1
15.2,42,100,30,0.0,19.05,102.93,0.0010674,0,0.7,0,0.011068,13.262,0.00095685,58818,63367,298.04,36.223,0.44874,0,,30,,0.62284,0.19592,,,0.23916,0,,0,1,1,1
15.4,42,100,30,0.0,26.733,98.386,0.00010674,0,0.7,0,0.01065,13.264,0.00095625,58824,63380,298.02,31.969,0.45479,0,,30,,0.61698,0.19599,,,0.24239,0,,0,1,1,1
15.6,42,100,30,0.0,36.776,94.518,0.0001,0,0.7,0,0.010541,13.237,0.00095563,58832,63395,298.01,28.432,0.46085,0,,30,,0.62034,0.19593,,,0.24562,0,,0,1,1,1
15.8,42,100,30,0.0,43.376,90.942,0.0001,0,0.7,0,0.010326,13.239,0.00095499,58841,63411,298.0,27.183,0.46689,0,,30,,0.61351,0.19601,,,0.24884,0,,0,1,1,1
16.0,42,100,30,0.0,42.986,89.764,0.0001,0,0.7,0,0.0099612,13.238,0.00095435,58851,63428,297.99,24.255,0.47289,0,,30,,0.60975,0.19605,,,0.25205,0,,0,1,1,1
16.2,42,100,75,0.0,36.105,86.218,0.0001,0,0.7,0,0.032322,12.221,0.00095358,58867,63455,298.07,44.964,0.48019,0,,35,,0.88051,0.19235,,,0.25594,0,,0,1,1,1
16.4,42,100,75,0.0,33.93,112.32,0.0001,0,0.7,0,0.031608,12.149,0.00095282,58884,63482,298.13,60.575,0.48895,0,,35,,0.97308,0.19107,,,0.26062,0,,0,1,1,1
16.6,42,100,75,0.0,39.258,134.15,0.0001,0,0.7,0,0.028842,12.134,0.00095204,58901,63510,298.15,67.134,0.49798,0,,35,,0.99052,0.19081,,,0.26543,0,,0,1,1,1
16.8,42,100,75,0.0,48.333,146.78,0.0001,0,0.7,0,0.027508,12.074,0.00095123,58921,63540,298.16,69.649,0.50705,0,,35,,1.0091,0.19054,,,0.27028,0,,0,1,1,1
17.0,42,100,75,0.0,57.203,155.44,0.0001,0,0.7,0,0.025651,12.057,0.00095039,58942,63571,298.16,70.81,0.51615,0,,35,,1.0144,0.19045,,,0.27513,0,,0,1,1,1
17.2,42,100,75,0.0,63.043,162.84,0.0001,0,0.7,0,0.0242,12.025,0.00094954,58964,63604,298.15,65.783,0.52526,0,,35,,1.0178,0.19039,,,0.28,0,,0,1,1,1
17.4,42,100,75,0.0,64.596,162.59,0.0001,0,0.7,0,0.022999,11.99,0.00094868,58986,63636,298.13,60.996,0.53438,0,,35,,1.0263,0.19025,,,0.28487,0,,0,1,1,1
17.6,42,100,75,0.0,62.245,162.13,0.0001,0,0.7,0,0.022262,11.932,0.00094784,59008,63669,298.11,56.356,0.54352,0,,35,,1.0437,0.19,,,0.28975,0,,0,1,1,1
17.8,42,100,75,0.0,57.377,161.2,0.0001,0,0.7,0,0.021035,11.901,0.000947,59029,63700,298.1,52.336,0.55267,0,,35,,1.0561,0.18981,,,0.29463,0,,0,1,1,1
18.0,42,100,75,0.0,51.333,160.4,0.0001,0,0.7,0,0.020201,11.87,0.0009462,59049,63731,298.09,51.179,0.56179,0,,35,,1.0627,0.1897,,,0.2995,0,,0,1,1,1
18.2,42,100,75,0.0,45.631,162.67,0.0001,0,0.7,0,0.019788,11.818,0.0009454,59068,63760,298.08,48.49,0.57093,0,,35,,1.0725,0.18955,,,0.30438,0,,0,1,1,1
18.4,42,100,75,0.0,42.505,162.75,0.0001,0,0.7,0,0.018783,11.795,0.00094462,59086,63788,298.08,46.703,0.58008,0,,35,,1.0782,0.18945,,,0.30927,0,,0,1,1,1
18.6,42,100,75,0.0,43.102,163.65,0.0001,0,0.7,0,0.018253,11.761,0.00094384,59104,63817,298.07,46.18,0.58925,0,,35,,1.0791,0.18942,,,0.31416,0,,0,1,1,1
18.8,42,100,75,0.0,46.877,165.88,0.0001,0,0.7,0,0.01689,11.773,0.00094305,59123,63846,298.04,38.277,0.59838,0,,35,,1.0725,0.1895,,,0.31904,0,,0,1,1,1
19.0,42,100,75,0.0,51.989,158.68,0.0001,0,0.7,0,0.016194,11.75,0.00094224,59143,63876,298.02,30.316,0.60745,0,,35,,1.0751,0.18945,,,0.32388,0,,0,1,1,1
19.2,42,100,75,0.0,56.609,150.54,0.0001,0,0.7,0,0.015549,11.704,0.00094142,59164,63907,298.0,25.125,0.61652,0,,35,,1.086,0.18928,,,0.32872,0,,0,1,1,1
19.4,42,100,75,0.0,59.09,144.8,0.0001,0,0.7,0,0.015077,11.689,0.00094059,59186,63939,297.98,20.314,0.62561,0,,35,,1.0818,0.18932,,,0.33358,0,,0,1,1,1
19.6,42,100,75,0.0,59.411,138.75,0.0001,0,0.7,0,0.014782,11.643,0.00093977,59207,63971,297.97,18.721,0.63472,0,,35,,1.0886,0.18921,,,0.33844,0,,0,1,1,1
19.8,42,100,75,0.0,57.243,136.09,0.0001,0,0.7,0,0.014799,11.569,0.00093895,59228,64002,297.98,20.589,0.64391,0,,35,,1.106,0.18895,,,0.34335,0,,0,1,1,1
20.0,42,100,75,0.0,53.583,137.49,0.0001,0,0.7,0,0.014009,11.561,0.00093814,59249,64033,297.99,22.669,0.65311,0,,35,,1.1091,0.18889,,,0.34827,0,,0,1,1,1
20.2,55,100,150,0.0,49.305,139.32,0.0001,0,0.7,0,0.040175,10.832,0.00093711,59283,64082,298.09,49.679,0.52435,0,,35,,1.3617,0.19009,,,0.36603,0,,0,1,1,1
20.4,55,100,150,0.0,53.842,172.8,0.0001,0,0.7,0,0.03929,10.71,0.00093607,59318,64131,298.15,66.979,0.52569,0,,35,,1.414,0.18954,,,0.36697,0,,0,1,1,1
20.6,55,100,150,0.0,66.062,197.05,0.0001,0,0.7,0,0.035933,10.637,0.00093498,59356,64183,298.19,78.984,0.53502,0,,35,,1.4435,0.18921,,,0.37348,0,,0,1,1,1
20.8,55,100,150,0.0,82.37,217.27,0.0001,0,0.7,0,0.032406,10.598,0.00093384,59397,64239,298.19,77.696,0.54488,0,,35,,1.4553,0.18907,,,0.38038,0,,0,1,1,1
21.0,55,100,150,0.0,99.876,222.57,0.0001,0,0.7,0,0.032412,10.503,0.00093265,59442,64298,298.18,74.755,0.55486,0,,35,,1.475,0.18884,,,0.38735,0,,0,1,1,1
21.2,55,100,150,0.0,117.69,225.98,0.0001,0,0.7,0,0.031898,10.423,0.00093141,59490,64360,298.18,75.444,0.56499,0,,35,,1.496,0.1886,,,0.39444,0,,0,1,1,1
21.4,55,100,150,0.0,135.58,233.59,0.0001,0,0.7,0,0.029761,10.382,0.00093011,59541,64426,298.15,67.723,0.57522,0,,35,,1.5124,0.18841,,,0.40159,0,,0,1,1,1
21.6,55,100,150,0.0,153.19,230.66,0.0001,0,0.7,0,0.029329,10.308,0.00092876,59597,64496,298.12,58.604,0.58552,0,,35,,1.5312,0.18819,,,0.40879,0,,0,1,1,1
21.8,55,100,150,0.0,170.48,225.16,0.0001,0,0.7,0,0.02862,10.22,0.00092736,59655,64570,298.11,55.803,0.59596,0,,35,,1.5577,0.18789,,,0.41609,0,,0,1,1,1
22.0,55,100,150,0.0,187.64,226.38,0.0001,0,0.7,0,0.027699,10.158,0.00092591,59717,64647,298.08,47.628,0.60654,0,,35,,1.5668,0.18778,,,0.42349,0,,0,1,1,1
22.2,55,100,150,0.0,204.76,220.34,0.0001,0,0.7,0,0.026234,10.121,0.00092441,59783,64727,298.05,38.995,0.61719,0,,35,,1.5773,0.18765,,,0.43094,0,,0,1,1,1
22.4,55,100,150,0.0,221.81,212.77,0.0001,0,0.7,0,0.024026,10.143,0.00092287,59852,64811,298.03,33.563,0.62782,0,,35,,1.5656,0.18775,,,0.43838,0,,0,1,1,1
22.6,55,100,150,0.0,225.0,208.05,0.0001,0,0.7,0,0.023738,10.058,0.00092132,59921,64895,298.03,32.87,0.63848,0,,35,,1.5837,0.18754,,,0.44583,0,,0,1,1,1
22.8,55,100,150,0.0,225.0,208.4,0.0001,0,0.7,0,0.022694,10.007,0.00091977,59991,64979,298.04,35.816,0.64921,0,,35,,1.5963,0.18739,,,0.45334,0,,0,1,1,1
23.0,55,100,150,0.0,225.0,213.06,0.0001,0,0.7,0,0.022348,9.9447,0.00091823,60060,65064,298.05,39.692,0.66,0,,35,,1.6054,0.18727,,,0.46089,0,,0,1,1,1
23.2,55,100,150,0.0,225.0,219.16,0.0001,0,0.7,0,0.021954,9.8749,0.00091668,60130,65149,298.07,45.229,0.6709,0,,35,,1.6124,0.18717,,,0.46851,0,,0,1,1,1
23.4,55,100,150,0.0,225.0,227.82,0.0001,0,0.7,0,0.02004,9.887,0.00091515,60199,65233,298.07,46.332,0.68179,0,,35,,1.6118,0.18716,,,0.47613,0,,0,1,1,1
23.6,55,100,150,0.0,225.0,231.68,0.0001,0,0.7,0,0.018598,9.889,0.00091362,60269,65317,298.06,42.692,0.69259,0,,35,,1.6063,0.1872,,,0.48368,0,,0,1,1,1
23.8,55,100,150,0.0,225.0,229.95,0.0001,0,0.7,0,0.01769,9.8526,0.00091209,60338,65401,298.05,38.1,0.70333,0,,35,,1.6179,0.18706,,,0.4912,0,,0,1,1,1
24.0,55,100,150,0.0,225.0,226.68,0.0001,0,0.7,0,0.017054,9.8146,0.00091056,60408,65486,298.03,34.356,0.71406,0,1289.8,35,1800.7,1.6293,0.18692,0.00091668,8.5233,0.49871,0,21.978,0,1,1,1
24.2,55,100,30,0.0,225.0,223.87,0.0001,0,0.7,0,0.0031571,12.451,0.015465,60453,65539,297.78,1e-06,0.72098,0,,35,,0.82523,0.19529,,,0.50355,0,,0,1,1,1
24.4,55,100,30,0.0,222.96,67.162,339.37,0,0.7,0,0.0031577,12.443,0.032763,60498,65592,298.9,312.71,0.72538,0,,35,,0.72351,0.19633,,,0.50663,0,,0,1,1,1
